Epoch number,number of human population,number of humans killed by zombie,number of humans starved to death,number of zombie population,number of zombies killed by humans
199,3879,6121,0,288,5868,
200,3868,6132,0,291,5876,
201,3863,6137,0,293,5879,
202,3839,6161,0,301,5895,
203,3835,6165,0,301,5899,
204,3823,6177,0,302,5910,
205,3816,6184,0,302,5917,
206,3804,6196,0,302,5929,
207,3793,6207,0,302,5940,
208,3782,6218,0,302,5951,
209,3766,6234,0,305,5964,
210,3750,6250,0,306,5979,
211,3739,6261,0,306,5990,
212,3717,6283,0,306,6012,
213,3709,6291,0,306,6020,
214,3698,6302,0,306,6031,
215,3669,6331,0,306,6060,
216,3663,6337,0,306,6066,
217,3645,6355,0,307,6083,
218,3619,6381,0,319,6097,
219,3592,6408,0,327,6116,
220,3588,6412,0,328,6119,
221,3577,6423,0,328,6130,
222,3555,6445,0,328,6152,
223,3545,6455,0,328,6162,
224,3530,6470,0,332,6173,
225,3502,6498,0,335,6198,
226,3490,6510,0,340,6205,
227,3488,6512,0,340,6207,
228,3473,6527,0,340,6222,
229,3444,6556,0,343,6248,
230,3437,6563,0,344,6254,
231,3394,6606,0,346,6295,
232,3388,6612,0,349,6298,
233,3378,6622,0,349,6308,
234,3363,6637,0,349,6323,
235,3351,6649,0,349,6335,
236,3348,6652,0,349,6338,
237,3347,6653,0,349,6339,
238,3342,6658,0,350,6343,
239,3332,6668,0,359,6344,
240,3309,6691,0,363,6363,
241,3287,6713,0,368,6380,
242,3249,6751,0,368,6418,
243,3248,6752,0,368,6419,
244,3230,6770,0,368,6437,
245,3225,6775,0,370,6440,
246,3220,6780,0,374,6441,
247,3208,6792,0,375,6452,
248,3162,6838,0,377,6496,
249,3134,6866,0,379,6522,
250,3127,6873,0,379,6529,
251,3105,6895,0,379,6551,
252,3098,6902,0,379,6558,
253,3088,6912,0,380,6567,
254,3081,6919,0,298,6656,
255,3069,6931,0,300,6666,
256,3045,6955,0,300,6690,
257,3025,6975,0,300,6710,
258,3018,6982,0,301,6716,
259,2994,7006,0,303,6738,
260,2966,7034,0,303,6766,
261,2936,7064,0,316,6783,
262,2918,7082,0,317,6800,
263,2908,7092,0,318,6809,
264,2895,7105,0,318,6822,
265,2892,7108,0,318,6825,
266,2883,7117,0,318,6834,
267,2865,7135,0,319,6851,
268,2850,7150,0,321,6864,
269,2838,7162,0,322,6875,
270,2817,7183,0,323,6895,
271,2793,7207,0,323,6919,
272,2774,7226,0,323,6938,
273,2772,7228,0,323,6940,
274,2767,7233,0,323,6945,
275,2767,7233,0,323,6945,
276,2759,7241,0,323,6953,
277,2754,7246,0,323,6958,
278,2744,7256,0,329,6962,
279,2718,7282,0,251,7066,
280,2710,7290,0,257,7068,
281,2661,7339,0,266,7108,
282,2658,7342,0,266,7111,
283,2636,7364,0,266,7133,
284,2629,7371,0,266,7140,
285,2600,7400,0,266,7169,
286,2586,7414,0,267,7182,
287,2581,7419,0,269,7185,
288,2572,7428,0,271,7192,
289,2559,7441,0,271,7205,
290,2556,7444,0,271,7208,
291,2553,7447,0,271,7211,
292,2551,7449,0,271,7213,
293,2542,7458,0,271,7222,
294,2536,7464,0,274,7225,
295,2530,7470,0,275,7230,
296,2519,7481,0,281,7235,
297,2519,7481,0,281,7235,
298,2513,7487,0,281,7241,
299,2507,7493,0,281,7247,
300,2494,7506,0,281,7260,
301,2489,7511,0,282,7264,
302,2484,7516,0,283,7268,
303,2473,7527,0,283,7279,
304,2466,7534,0,283,7286,
305,2461,7539,0,283,7291,
306,2454,7546,0,284,7297,
307,2451,7549,0,286,7298,
308,2435,7565,0,293,7307,
309,2434,7566,0,293,7308,
310,2420,7580,0,293,7322,
311,2415,7585,0,294,7326,
312,2393,7607,0,295,7347,
313,2390,7610,0,296,7349,
314,2390,7610,0,296,7349,
315,2344,7656,0,296,7395,
316,2338,7662,0,302,7395,
317,2312,7688,0,303,7420,
318,2300,7700,0,304,7431,
319,2288,7712,0,304,7443,
320,2282,7718,0,304,7449,
321,2272,7728,0,304,7459,
322,2256,7744,0,304,7475,
323,2249,7751,0,305,7481,
324,2241,7759,0,307,7487,
325,2224,7776,0,319,7492,
326,2223,7777,0,319,7493,
327,2207,7793,0,306,7522,
328,2201,7799,0,306,7528,
329,2199,7801,0,306,7530,
330,2194,7806,0,306,7535,
331,2192,7808,0,307,7536,
332,2190,7810,0,309,7536,
333,2172,7828,0,320,7543,
