Epoch number,number of human population,number of humans killed by zombie,number of humans starved to death,number of zombie population,number of zombies killed by humans
881,410,9590,0,231,9394,
882,409,9591,0,232,9394,
883,409,9591,0,232,9394,
884,409,9591,0,232,9394,
885,409,9591,0,232,9394,
886,406,9594,0,233,9396,
887,405,9595,0,234,9396,
888,404,9596,0,235,9396,
889,403,9597,0,236,9396,
890,403,9597,0,236,9396,
891,402,9598,0,236,9397,
892,401,9599,0,236,9398,
893,401,9599,0,236,9398,
894,400,9600,0,237,9398,
895,399,9601,0,238,9398,
896,398,9602,0,239,9398,
897,398,9602,0,239,9398,
898,397,9603,0,239,9399,
899,396,9604,0,240,9399,
900,396,9604,0,240,9399,
901,395,9605,0,241,9399,
902,395,9605,0,241,9399,
903,393,9607,0,243,9399,
904,392,9608,0,244,9399,
905,392,9608,0,244,9399,
906,391,9609,0,245,9399,
907,391,9609,0,245,9399,
908,391,9609,0,245,9399,
909,391,9609,0,245,9399,
910,391,9609,0,245,9399,
911,391,9609,0,245,9399,
912,390,9610,0,246,9399,
913,390,9610,0,246,9399,
914,390,9610,0,246,9399,
915,389,9611,0,247,9399,
916,388,9612,0,162,9485,
917,388,9612,0,162,9485,
918,388,9612,0,162,9485,
919,388,9612,0,162,9485,
920,388,9612,0,162,9485,
921,388,9612,0,162,9485,
922,387,9613,0,163,9485,
923,386,9614,0,164,9485,
924,384,9616,0,166,9485,
925,383,9617,0,167,9485,
926,383,9617,0,167,9485,
927,383,9617,0,167,9485,
928,383,9617,0,167,9485,
929,383,9617,0,167,9485,
930,383,9617,0,167,9485,
931,383,9617,0,167,9485,
932,383,9617,0,167,9485,
933,382,9618,0,168,9485,
934,382,9618,0,168,9485,
935,382,9618,0,168,9485,
936,382,9618,0,168,9485,
937,380,9620,0,168,9487,
938,380,9620,0,168,9487,
939,380,9620,0,168,9487,
940,380,9620,0,168,9487,
941,380,9620,0,168,9487,
942,380,9620,0,168,9487,
943,379,9621,0,169,9487,
944,378,9622,0,170,9487,
945,377,9623,0,171,9487,
946,377,9623,0,171,9487,
947,377,9623,0,171,9487,
948,376,9624,0,172,9487,
949,375,9625,0,173,9487,
950,374,9626,0,174,9487,
951,373,9627,0,175,9487,
952,372,9628,0,176,9487,
953,371,9629,0,177,9487,
954,371,9629,0,177,9487,
955,371,9629,0,177,9487,
956,370,9630,0,178,9487,
957,369,9631,0,179,9487,
958,368,9632,0,114,9553,
959,367,9633,0,114,9554,
960,367,9633,0,114,9554,
961,367,9633,0,114,9554,
962,367,9633,0,114,9554,
963,366,9634,0,115,9554,
964,366,9634,0,115,9554,
965,365,9635,0,116,9554,
966,365,9635,0,116,9554,
967,365,9635,0,116,9554,
968,364,9636,0,117,9554,
969,363,9637,0,118,9554,
970,362,9638,0,119,9554,
971,360,9640,0,120,9555,
972,357,9643,0,121,9557,
973,357,9643,0,121,9557,
974,357,9643,0,121,9557,
975,357,9643,0,121,9557,
976,357,9643,0,121,9557,
977,356,9644,0,122,9557,
978,354,9646,0,123,9558,
979,351,9649,0,124,9560,
980,349,9651,0,125,9561,
981,349,9651,0,125,9561,
982,349,9651,0,125,9561,
983,349,9651,0,125,9561,
984,349,9651,0,125,9561,
985,349,9651,0,125,9561,
986,349,9651,0,125,9561,
987,349,9651,0,125,9561,
988,348,9652,0,126,9561,
989,347,9653,0,127,9561,
990,347,9653,0,127,9561,
991,346,9654,0,128,9561,
992,345,9655,0,129,9561,
993,344,9656,0,130,9561,
994,344,9656,0,130,9561,
995,344,9656,0,130,9561,
996,343,9657,0,130,9562,
997,343,9657,0,130,9562,
998,342,9658,0,131,9562,
999,341,9659,0,92,9602,
1000,340,9660,0,93,9602,
1001,340,9660,0,93,9602,
1002,340,9660,0,93,9602,
1003,339,9661,0,93,9603,
1004,338,9662,0,94,9603,
1005,337,9663,0,95,9603,
1006,336,9664,0,96,9603,
1007,336,9664,0,96,9603,
1008,336,9664,0,96,9603,
1009,335,9665,0,97,9603,
1010,333,9667,0,98,9604,
1011,332,9668,0,98,9605,
1012,331,9669,0,99,9605,
1013,331,9669,0,99,9605,
1014,331,9669,0,99,9605,
1015,330,9670,0,100,9605,
1016,330,9670,0,100,9605,
1017,330,9670,0,100,9605,
1018,328,9672,0,102,9605,
1019,327,9673,0,103,9605,
1020,327,9673,0,67,9641,
1021,326,9674,0,68,9641,
1022,325,9675,0,69,9641,
1023,324,9676,0,69,9642,
1024,323,9677,0,69,9643,
1025,323,9677,0,69,9643,
1026,323,9677,0,69,9643,
1027,321,9679,0,70,9644,
1028,320,9680,0,71,9644,
1029,316,9684,0,75,9644,
1030,316,9684,0,75,9644,
1031,316,9684,0,75,9644,
1032,316,9684,0,75,9644,
1033,316,9684,0,75,9644,
1034,313,9687,0,75,9647,
1035,313,9687,0,75,9647,
1036,312,9688,0,76,9647,
1037,311,9689,0,77,9647,
1038,310,9690,0,78,9647,
1039,309,9691,0,79,9647,
1040,308,9692,0,80,9647,
1041,307,9693,0,81,9647,
1042,307,9693,0,81,9647,
1043,307,9693,0,81,9647,
1044,307,9693,0,81,9647,
1045,307,9693,0,81,9647,
1046,307,9693,0,81,9647,
1047,306,9694,0,82,9647,
1048,305,9695,0,83,9647,
1049,304,9696,0,84,9647,
1050,303,9697,0,84,9648,
1051,303,9697,0,84,9648,
1052,302,9698,0,84,9649,
1053,302,9698,0,84,9649,
1054,302,9698,0,84,9649,
1055,301,9699,0,85,9649,
1056,301,9699,0,85,9649,
1057,301,9699,0,85,9649,
1058,301,9699,0,85,9649,
1059,301,9699,0,85,9649,
1060,301,9699,0,85,9649,
1061,300,9700,0,86,9649,
1062,299,9701,0,87,9649,
1063,298,9702,0,88,9649,
1064,296,9704,0,88,9651,
1065,296,9704,0,88,9651,
1066,296,9704,0,88,9651,
1067,295,9705,0,89,9651,
1068,293,9707,0,90,9652,
1069,293,9707,0,90,9652,
1070,293,9707,0,90,9652,
1071,292,9708,0,91,9652,
1072,291,9709,0,92,9652,
1073,290,9710,0,93,9652,
1074,290,9710,0,93,9652,
1075,290,9710,0,93,9652,
1076,289,9711,0,93,9653,
1077,289,9711,0,93,9653,
1078,289,9711,0,93,9653,
1079,289,9711,0,93,9653,
1080,289,9711,0,93,9653,
1081,289,9711,0,93,9653,
1082,288,9712,0,94,9653,
1083,287,9713,0,95,9653,
1084,286,9714,0,96,9653,
1085,286,9714,0,96,9653,
1086,285,9715,0,96,9654,
1087,285,9715,0,96,9654,
1088,284,9716,0,96,9655,
1089,284,9716,0,96,9655,
1090,282,9718,0,98,9655,
1091,280,9720,0,99,9656,
1092,280,9720,0,99,9656,
1093,279,9721,0,100,9656,
1094,279,9721,0,100,9656,
1095,279,9721,0,100,9656,
1096,278,9722,0,101,9656,
1097,277,9723,0,102,9656,
1098,276,9724,0,103,9656,
1099,276,9724,0,103,9656,
1100,274,9726,0,104,9657,
1101,273,9727,0,105,9657,
1102,273,9727,0,105,9657,
1103,273,9727,0,105,9657,
1104,273,9727,0,105,9657,
1105,272,9728,0,106,9657,
1106,271,9729,0,107,9657,
1107,271,9729,0,107,9657,
1108,270,9730,0,108,9657,
1109,269,9731,0,109,9657,
1110,266,9734,0,110,9659,
1111,266,9734,0,110,9659,
1112,265,9735,0,111,9659,
1113,264,9736,0,112,9659,
1114,263,9737,0,113,9659,
1115,263,9737,0,113,9659,
1116,262,9738,0,114,9659,
1117,261,9739,0,115,9659,
1118,260,9740,0,116,9659,
1119,260,9740,0,116,9659,
1120,260,9740,0,116,9659,
1121,260,9740,0,116,9659,
1122,260,9740,0,116,9659,
1123,260,9740,0,76,9699,
1124,260,9740,0,76,9699,
1125,259,9741,0,77,9699,
1126,258,9742,0,78,9699,
1127,258,9742,0,78,9699,
1128,257,9743,0,79,9699,
1129,257,9743,0,79,9699,
1130,257,9743,0,79,9699,
1131,257,9743,0,79,9699,
1132,257,9743,0,79,9699,
1133,257,9743,0,79,9699,
1134,257,9743,0,79,9699,
1135,256,9744,0,80,9699,
1136,255,9745,0,81,9699,
1137,254,9746,0,82,9699,
1138,254,9746,0,82,9699,
1139,254,9746,0,82,9699,
1140,254,9746,0,82,9699,
1141,254,9746,0,82,9699,
1142,253,9747,0,83,9699,
1143,252,9748,0,84,9699,
1144,251,9749,0,85,9699,
1145,251,9749,0,85,9699,
1146,250,9750,0,86,9699,
1147,250,9750,0,86,9699,
1148,250,9750,0,86,9699,
1149,250,9750,0,86,9699,
1150,250,9750,0,86,9699,
1151,250,9750,0,86,9699,
1152,249,9751,0,87,9699,
1153,248,9752,0,88,9699,
1154,247,9753,0,46,9742,
1155,246,9754,0,47,9742,
1156,246,9754,0,47,9742,
1157,246,9754,0,47,9742,
1158,246,9754,0,47,9742,
1159,246,9754,0,47,9742,
1160,246,9754,0,47,9742,
1161,245,9755,0,48,9742,
1162,244,9756,0,49,9742,
1163,243,9757,0,50,9742,
1164,243,9757,0,50,9742,
1165,243,9757,0,50,9742,
1166,243,9757,0,50,9742,
1167,243,9757,0,50,9742,
1168,243,9757,0,50,9742,
1169,242,9758,0,51,9742,
1170,241,9759,0,52,9742,
1171,240,9760,0,53,9742,
1172,240,9760,0,53,9742,
1173,240,9760,0,53,9742,
1174,240,9760,0,53,9742,
1175,239,9761,0,54,9742,
1176,238,9762,0,55,9742,
1177,236,9764,0,38,9761,
1178,235,9765,0,39,9761,
1179,235,9765,0,39,9761,
1180,235,9765,0,39,9761,
1181,235,9765,0,39,9761,
1182,235,9765,0,39,9761,
1183,234,9766,0,40,9761,
1184,232,9768,0,41,9762,
1185,232,9768,0,41,9762,
1186,232,9768,0,41,9762,
1187,232,9768,0,41,9762,
1188,231,9769,0,42,9762,
1189,230,9770,0,43,9762,
1190,229,9771,0,44,9762,
1191,227,9773,0,44,9764,
1192,227,9773,0,44,9764,
1193,227,9773,0,44,9764,
1194,227,9773,0,37,9771,
1195,226,9774,0,38,9771,
1196,225,9775,0,39,9771,
1197,224,9776,0,40,9771,
1198,224,9776,0,40,9771,
1199,224,9776,0,40,9771,
1200,224,9776,0,40,9771,
1201,222,9778,0,40,9773,
1202,221,9779,0,41,9773,
1203,220,9780,0,42,9773,
1204,220,9780,0,42,9773,
1205,218,9782,0,42,9775,
1206,217,9783,0,43,9775,
1207,216,9784,0,44,9775,
1208,216,9784,0,44,9775,
1209,216,9784,0,44,9775,
1210,216,9784,0,44,9775,
1211,216,9784,0,44,9775,
1212,215,9785,0,45,9775,
1213,214,9786,0,46,9775,
1214,214,9786,0,46,9775,
1215,214,9786,0,46,9775,
1216,213,9787,0,47,9775,
1217,212,9788,0,48,9775,
1218,212,9788,0,48,9775,
1219,212,9788,0,48,9775,
1220,210,9790,0,50,9775,
1221,209,9791,0,51,9775,
1222,208,9792,0,52,9775,
1223,206,9794,0,53,9776,
1224,205,9795,0,53,9777,
1225,205,9795,0,53,9777,
1226,205,9795,0,53,9777,
1227,205,9795,0,53,9777,
1228,205,9795,0,53,9777,
1229,205,9795,0,53,9777,
1230,205,9795,0,53,9777,
1231,205,9795,0,53,9777,
1232,205,9795,0,53,9777,
1233,205,9795,0,53,9777,
1234,204,9796,0,53,9778,
1235,204,9796,0,53,9778,
1236,204,9796,0,53,9778,
1237,204,9796,0,53,9778,
1238,204,9796,0,53,9778,
1239,204,9796,0,53,9778,
1240,204,9796,0,53,9778,
1241,203,9797,0,54,9778,
1242,202,9798,0,55,9778,
1243,201,9799,0,56,9778,
1244,201,9799,0,56,9778,
1245,201,9799,0,56,9778,
1246,201,9799,0,56,9778,
1247,201,9799,0,56,9778,
1248,201,9799,0,56,9778,
1249,201,9799,0,56,9778,
1250,201,9799,0,56,9778,
1251,201,9799,0,56,9778,
1252,201,9799,0,56,9778,
1253,201,9799,0,56,9778,
1254,200,9800,0,57,9778,
1255,199,9801,0,58,9778,
1256,198,9802,0,59,9778,
1257,197,9803,0,59,9779,
1258,197,9803,0,59,9779,
1259,197,9803,0,59,9779,
1260,196,9804,0,60,9779,
1261,195,9805,0,61,9779,
1262,194,9806,0,62,9779,
1263,193,9807,0,63,9779,
1264,192,9808,0,64,9779,
1265,192,9808,0,64,9779,
1266,192,9808,0,64,9779,
1267,192,9808,0,64,9779,
1268,192,9808,0,64,9779,
1269,192,9808,0,64,9779,
1270,192,9808,0,64,9779,
1271,192,9808,0,55,9788,
1272,192,9808,0,55,9788,
1273,192,9808,0,55,9788,
1274,192,9808,0,55,9788,
1275,192,9808,0,55,9788,
1276,192,9808,0,55,9788,
1277,192,9808,0,55,9788,
1278,192,9808,0,55,9788,
1279,192,9808,0,55,9788,
1280,192,9808,0,55,9788,
1281,192,9808,0,55,9788,
1282,192,9808,0,55,9788,
1283,192,9808,0,55,9788,
1284,192,9808,0,55,9788,
1285,192,9808,0,55,9788,
1286,192,9808,0,55,9788,
1287,192,9808,0,55,9788,
1288,192,9808,0,55,9788,
1289,192,9808,0,55,9788,
1290,191,9809,0,56,9788,
1291,190,9810,0,57,9788,
1292,190,9810,0,57,9788,
1293,189,9811,0,58,9788,
1294,189,9811,0,58,9788,
1295,189,9811,0,58,9788,
1296,188,9812,0,59,9788,
1297,187,9813,0,60,9788,
1298,187,9813,0,60,9788,
1299,186,9814,0,61,9788,
1300,185,9815,0,62,9788,
1301,185,9815,0,62,9788,
1302,185,9815,0,62,9788,
1303,184,9816,0,63,9788,
1304,184,9816,0,63,9788,
1305,184,9816,0,63,9788,
1306,184,9816,0,63,9788,
1307,183,9817,0,64,9788,
1308,182,9818,0,65,9788,
1309,181,9819,0,66,9788,
1310,181,9819,0,66,9788,
1311,181,9819,0,66,9788,
1312,180,9820,0,67,9788,
1313,180,9820,0,67,9788,
1314,180,9820,0,67,9788,
1315,180,9820,0,67,9788,
1316,179,9821,0,68,9788,
1317,178,9822,0,69,9788,
1318,177,9823,0,69,9789,
1319,176,9824,0,70,9789,
1320,175,9825,0,71,9789,
1321,174,9826,0,72,9789,
1322,174,9826,0,72,9789,
1323,174,9826,0,72,9789,
1324,174,9826,0,72,9789,
1325,174,9826,0,72,9789,
1326,174,9826,0,72,9789,
1327,174,9826,0,72,9789,
1328,173,9827,0,73,9789,
1329,172,9828,0,74,9789,
1330,172,9828,0,74,9789,
1331,172,9828,0,74,9789,
1332,172,9828,0,74,9789,
1333,172,9828,0,74,9789,
1334,172,9828,0,74,9789,
1335,171,9829,0,60,9804,
1336,171,9829,0,60,9804,
1337,171,9829,0,60,9804,
1338,171,9829,0,60,9804,
1339,171,9829,0,60,9804,
1340,171,9829,0,60,9804,
1341,171,9829,0,60,9804,
1342,171,9829,0,60,9804,
1343,171,9829,0,60,9804,
1344,171,9829,0,60,9804,
1345,171,9829,0,60,9804,
1346,171,9829,0,60,9804,
1347,171,9829,0,60,9804,
1348,171,9829,0,60,9804,
1349,171,9829,0,60,9804,
1350,171,9829,0,60,9804,
1351,170,9830,0,61,9804,
1352,169,9831,0,62,9804,
1353,169,9831,0,62,9804,
1354,169,9831,0,62,9804,
1355,169,9831,0,62,9804,
1356,169,9831,0,62,9804,
1357,169,9831,0,62,9804,
1358,168,9832,0,63,9804,
1359,167,9833,0,64,9804,
1360,167,9833,0,64,9804,
1361,167,9833,0,64,9804,
1362,167,9833,0,64,9804,
1363,166,9834,0,65,9804,
1364,165,9835,0,66,9804,
1365,164,9836,0,67,9804,
1366,163,9837,0,68,9804,
1367,162,9838,0,69,9804,
1368,162,9838,0,69,9804,
1369,161,9839,0,70,9804,
1370,160,9840,0,71,9804,
1371,159,9841,0,72,9804,
1372,159,9841,0,72,9804,
1373,159,9841,0,72,9804,
1374,158,9842,0,73,9804,
1375,157,9843,0,74,9804,
1376,157,9843,0,74,9804,
1377,157,9843,0,74,9804,
1378,156,9844,0,75,9804,
1379,155,9845,0,76,9804,
1380,154,9846,0,77,9804,
1381,154,9846,0,77,9804,
1382,154,9846,0,77,9804,
1383,153,9847,0,78,9804,
1384,152,9848,0,79,9804,
1385,151,9849,0,80,9804,
1386,151,9849,0,80,9804,
1387,151,9849,0,80,9804,
1388,151,9849,0,80,9804,
1389,151,9849,0,80,9804,
1390,151,9849,0,80,9804,
1391,151,9849,0,80,9804,
1392,150,9850,0,81,9804,
1393,149,9851,0,82,9804,
1394,148,9852,0,83,9804,
1395,147,9853,0,84,9804,
1396,147,9853,0,73,9815,
1397,147,9853,0,73,9815,
1398,147,9853,0,73,9815,
1399,147,9853,0,73,9815,
1400,147,9853,0,73,9815,
1401,146,9854,0,74,9815,
1402,145,9855,0,75,9815,
1403,145,9855,0,75,9815,
1404,145,9855,0,75,9815,
1405,145,9855,0,75,9815,
1406,145,9855,0,75,9815,
1407,145,9855,0,75,9815,
1408,144,9856,0,76,9815,
1409,143,9857,0,77,9815,
1410,143,9857,0,77,9815,
1411,143,9857,0,77,9815,
1412,143,9857,0,77,9815,
1413,143,9857,0,77,9815,
1414,143,9857,0,77,9815,
1415,143,9857,0,77,9815,
1416,143,9857,0,77,9815,
1417,143,9857,0,77,9815,
1418,142,9858,0,78,9815,
1419,141,9859,0,79,9815,
1420,140,9860,0,80,9815,
1421,140,9860,0,80,9815,
1422,140,9860,0,80,9815,
1423,140,9860,0,80,9815,
1424,139,9861,0,81,9815,
1425,138,9862,0,82,9815,
1426,137,9863,0,83,9815,
1427,137,9863,0,83,9815,
1428,137,9863,0,83,9815,
1429,137,9863,0,83,9815,
1430,137,9863,0,83,9815,
1431,137,9863,0,83,9815,
1432,136,9864,0,84,9815,
1433,136,9864,0,84,9815,
1434,135,9865,0,85,9815,
1435,135,9865,0,51,9849,
1436,135,9865,0,51,9849,
1437,135,9865,0,51,9849,
1438,135,9865,0,51,9849,
1439,135,9865,0,51,9849,
1440,135,9865,0,51,9849,
1441,135,9865,0,51,9849,
1442,134,9866,0,52,9849,
1443,134,9866,0,52,9849,
1444,133,9867,0,53,9849,
1445,132,9868,0,54,9849,
1446,131,9869,0,55,9849,
1447,130,9870,0,56,9849,
1448,129,9871,0,57,9849,
1449,129,9871,0,57,9849,
1450,129,9871,0,57,9849,
1451,129,9871,0,57,9849,
1452,129,9871,0,57,9849,
1453,128,9872,0,58,9849,
1454,127,9873,0,59,9849,
1455,126,9874,0,60,9849,
1456,126,9874,0,60,9849,
1457,126,9874,0,60,9849,
1458,126,9874,0,60,9849,
1459,125,9875,0,61,9849,
1460,124,9876,0,62,9849,
1461,123,9877,0,63,9849,
1462,123,9877,0,63,9849,
1463,123,9877,0,63,9849,
1464,123,9877,0,63,9849,
1465,122,9878,0,64,9849,
1466,121,9879,0,65,9849,
1467,120,9880,0,66,9849,
1468,120,9880,0,66,9849,
1469,120,9880,0,66,9849,
1470,119,9881,0,67,9849,
1471,118,9882,0,68,9849,
1472,117,9883,0,42,9876,
1473,117,9883,0,42,9876,
1474,117,9883,0,42,9876,
1475,117,9883,0,42,9876,
1476,117,9883,0,42,9876,
1477,117,9883,0,42,9876,
1478,117,9883,0,42,9876,
1479,117,9883,0,42,9876,
1480,116,9884,0,43,9876,
1481,115,9885,0,44,9876,
1482,114,9886,0,45,9876,
1483,114,9886,0,45,9876,
1484,114,9886,0,45,9876,
1485,114,9886,0,45,9876,
1486,114,9886,0,45,9876,
1487,114,9886,0,45,9876,
1488,114,9886,0,45,9876,
1489,114,9886,0,45,9876,
1490,114,9886,0,45,9876,
1491,114,9886,0,45,9876,
1492,114,9886,0,45,9876,
1493,114,9886,0,45,9876,
1494,114,9886,0,45,9876,
1495,114,9886,0,45,9876,
1496,114,9886,0,45,9876,
1497,114,9886,0,45,9876,
1498,114,9886,0,45,9876,
1499,114,9886,0,45,9876,
1500,114,9886,0,45,9876,
1501,114,9886,0,45,9876,
1502,114,9886,0,45,9876,
1503,114,9886,0,45,9876,
1504,114,9886,0,45,9876,
1505,113,9887,0,46,9876,
1506,112,9888,0,47,9876,
1507,111,9889,0,48,9876,
1508,111,9889,0,48,9876,
1509,111,9889,0,48,9876,
1510,111,9889,0,48,9876,
1511,111,9889,0,48,9876,
1512,111,9889,0,48,9876,
1513,111,9889,0,48,9876,
1514,111,9889,0,48,9876,
1515,110,9890,0,49,9876,
1516,109,9891,0,50,9876,
1517,108,9892,0,51,9876,
1518,108,9892,0,51,9876,
1519,108,9892,0,51,9876,
1520,108,9892,0,51,9876,
1521,107,9893,0,52,9876,
1522,106,9894,0,53,9876,
1523,105,9895,0,54,9876,
1524,105,9895,0,54,9876,
1525,105,9895,0,54,9876,
1526,104,9896,0,55,9876,
1527,103,9897,0,56,9876,
1528,102,9898,0,57,9876,
1529,102,9898,0,57,9876,
1530,102,9898,0,57,9876,
1531,102,9898,0,57,9876,
1532,102,9898,0,57,9876,
1533,101,9899,0,57,9877,
1534,100,9900,0,58,9877,
1535,99,9901,0,59,9877,
1536,98,9902,0,60,9877,
1537,98,9902,0,60,9877,
1538,98,9902,0,60,9877,
1539,98,9902,0,60,9877,
1540,98,9902,0,60,9877,
1541,97,9903,0,61,9877,
1542,96,9904,0,62,9877,
1543,95,9905,0,44,9896,
1544,95,9905,0,44,9896,
1545,95,9905,0,44,9896,
1546,95,9905,0,44,9896,
1547,95,9905,0,44,9896,
1548,94,9906,0,45,9896,
1549,93,9907,0,46,9896,
1550,92,9908,0,47,9896,
1551,92,9908,0,47,9896,
1552,92,9908,0,47,9896,
1553,92,9908,0,47,9896,
1554,92,9908,0,47,9896,
1555,91,9909,0,48,9896,
1556,90,9910,0,49,9896,
1557,89,9911,0,39,9907,
1558,89,9911,0,39,9907,
1559,89,9911,0,39,9907,
1560,88,9912,0,40,9907,
1561,87,9913,0,41,9907,
1562,86,9914,0,42,9907,
1563,86,9914,0,42,9907,
1564,86,9914,0,42,9907,
1565,86,9914,0,42,9907,
1566,85,9915,0,43,9907,
1567,84,9916,0,44,9907,
1568,84,9916,0,44,9907,
1569,84,9916,0,44,9907,
1570,83,9917,0,45,9907,
1571,82,9918,0,46,9907,
1572,81,9919,0,47,9907,
1573,81,9919,0,47,9907,
1574,80,9920,0,48,9907,
1575,79,9921,0,48,9908,
1576,79,9921,0,48,9908,
1577,79,9921,0,48,9908,
1578,79,9921,0,48,9908,
1579,79,9921,0,48,9908,
1580,79,9921,0,48,9908,
1581,78,9922,0,49,9908,
1582,77,9923,0,50,9908,
1583,76,9924,0,51,9908,
1584,75,9925,0,52,9908,
1585,75,9925,0,52,9908,
1586,75,9925,0,52,9908,
1587,75,9925,0,52,9908,
1588,75,9925,0,52,9908,
1589,75,9925,0,52,9908,
1590,75,9925,0,52,9908,
1591,75,9925,0,52,9908,
1592,75,9925,0,52,9908,
1593,75,9925,0,52,9908,
1594,75,9925,0,52,9908,
1595,75,9925,0,52,9908,
1596,75,9925,0,52,9908,
1597,75,9925,0,52,9908,
1598,75,9925,0,52,9908,
1599,75,9925,0,52,9908,
1600,74,9926,0,53,9908,
1601,73,9927,0,54,9908,
1602,73,9927,0,54,9908,
1603,73,9927,0,54,9908,
1604,73,9927,0,54,9908,
1605,73,9927,0,54,9908,
1606,73,9927,0,54,9908,
1607,72,9928,0,55,9908,
1608,71,9929,0,56,9908,
1609,70,9930,0,57,9908,
1610,70,9930,0,57,9908,
1611,70,9930,0,57,9908,
1612,70,9930,0,57,9908,
1613,70,9930,0,57,9908,
1614,70,9930,0,57,9908,
1615,70,9930,0,57,9908,
1616,70,9930,0,57,9908,
1617,70,9930,0,57,9908,
1618,70,9930,0,57,9908,
1619,70,9930,0,57,9908,
1620,70,9930,0,57,9908,
1621,70,9930,0,57,9908,
1622,70,9930,0,57,9908,
1623,70,9930,0,57,9908,
1624,70,9930,0,57,9908,
1625,70,9930,0,57,9908,
1626,70,9930,0,57,9908,
1627,70,9930,0,57,9908,
1628,70,9930,0,57,9908,
1629,70,9930,0,57,9908,
1630,70,9930,0,57,9908,
1631,69,9931,0,58,9908,
1632,68,9932,0,59,9908,
1633,67,9933,0,60,9908,
1634,67,9933,0,60,9908,
1635,67,9933,0,60,9908,
1636,67,9933,0,60,9908,
1637,66,9934,0,61,9908,
1638,65,9935,0,62,9908,
1639,64,9936,0,63,9908,
1640,63,9937,0,64,9908,
1641,62,9938,0,65,9908,
1642,62,9938,0,65,9908,
1643,61,9939,0,66,9908,
1644,60,9940,0,67,9908,
1645,59,9941,0,68,9908,
1646,59,9941,0,68,9908,
1647,59,9941,0,68,9908,
1648,59,9941,0,68,9908,
1649,59,9941,0,68,9908,
1650,59,9941,0,68,9908,
1651,59,9941,0,68,9908,
1652,58,9942,0,69,9908,
1653,57,9943,0,70,9908,
1654,57,9943,0,70,9908,
1655,57,9943,0,70,9908,
1656,56,9944,0,71,9908,
1657,55,9945,0,72,9908,
1658,54,9946,0,73,9908,
1659,53,9947,0,74,9908,
1660,53,9947,0,74,9908,
1661,53,9947,0,74,9908,
1662,52,9948,0,75,9908,
1663,52,9948,0,75,9908,
1664,52,9948,0,75,9908,
1665,52,9948,0,75,9908,
1666,52,9948,0,75,9908,
1667,52,9948,0,70,9913,
1668,52,9948,0,70,9913,
1669,52,9948,0,70,9913,
1670,52,9948,0,70,9913,
1671,52,9948,0,70,9913,
1672,51,9949,0,71,9913,
1673,50,9950,0,72,9913,
1674,49,9951,0,73,9913,
1675,49,9951,0,73,9913,
1676,49,9951,0,73,9913,
1677,49,9951,0,73,9913,
1678,49,9951,0,73,9913,
1679,49,9951,0,73,9913,
1680,49,9951,0,73,9913,
1681,49,9951,0,73,9913,
1682,49,9951,0,73,9913,
1683,49,9951,0,73,9913,
1684,49,9951,0,73,9913,
1685,49,9951,0,73,9913,
1686,49,9951,0,73,9913,
1687,49,9951,0,73,9913,
1688,49,9951,0,73,9913,
1689,49,9951,0,73,9913,
1690,49,9951,0,42,9944,
1691,49,9951,0,42,9944,
1692,49,9951,0,42,9944,
1693,49,9951,0,42,9944,
1694,49,9951,0,42,9944,
1695,49,9951,0,42,9944,
1696,49,9951,0,42,9944,
1697,49,9951,0,42,9944,
1698,49,9951,0,42,9944,
1699,49,9951,0,42,9944,
1700,49,9951,0,31,9955,
1701,47,9953,0,32,9956,
1702,46,9954,0,33,9956,
1703,46,9954,0,33,9956,
1704,46,9954,0,33,9956,
1705,45,9955,0,34,9956,
1706,44,9956,0,35,9956,
1707,43,9957,0,36,9956,
1708,42,9958,0,37,9956,
1709,42,9958,0,37,9956,
1710,42,9958,0,37,9956,
1711,42,9958,0,37,9956,
1712,42,9958,0,37,9956,
1713,41,9959,0,38,9956,
1714,40,9960,0,39,9956,
1715,39,9961,0,40,9956,
1716,39,9961,0,40,9956,
1717,39,9961,0,40,9956,
1718,39,9961,0,40,9956,
1719,39,9961,0,40,9956,
1720,38,9962,0,41,9956,
1721,37,9963,0,42,9956,
1722,36,9964,0,43,9956,
1723,36,9964,0,43,9956,
1724,36,9964,0,43,9956,
1725,36,9964,0,43,9956,
1726,36,9964,0,43,9956,
1727,36,9964,0,43,9956,
1728,36,9964,0,43,9956,
1729,36,9964,0,43,9956,
1730,36,9964,0,43,9956,
1731,35,9965,0,44,9956,
1732,35,9965,0,44,9956,
1733,34,9966,0,45,9956,
1734,34,9966,0,45,9956,
1735,34,9966,0,45,9956,
1736,34,9966,0,45,9956,
1737,34,9966,0,45,9956,
1738,34,9966,0,45,9956,
1739,33,9967,0,46,9956,
1740,32,9968,0,47,9956,
1741,31,9969,0,48,9956,
1742,30,9970,0,49,9956,
1743,29,9971,0,50,9956,
1744,28,9972,0,51,9956,
1745,28,9972,0,51,9956,
1746,28,9972,0,51,9956,
1747,28,9972,0,51,9956,
1748,28,9972,0,51,9956,
1749,28,9972,0,51,9956,
1750,28,9972,0,51,9956,
1751,28,9972,0,51,9956,
1752,28,9972,0,51,9956,
1753,28,9972,0,51,9956,
1754,28,9972,0,51,9956,
1755,28,9972,0,51,9956,
1756,28,9972,0,41,9966,
1757,28,9972,0,41,9966,
1758,28,9972,0,41,9966,
1759,28,9972,0,41,9966,
